plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
137,2139,PIPO,29.3,11.1,35.5,989.7971994,LF,2,2,1,2,2,35.9,1012.228152,17.24,0.4,,
137,2140,PIPO,26.8,10.8,46,1661.90111,LG,2,2,2,2,2,46.4,1690.929402,18.4,0.4,,
137,2141,PIPO,24.1,5,50.9,2034.815697,LG,2,2,1,2,1,51.3,2066.922747,16.07,0.4,,
137,2142,PIPO,19.6,2.4,38.6,1170.210859,DSL,,,,,,,0,,,,
137,2144,PIPO,14.5,7.7,34.7,945.6892758,DSL,,,,,,,0,,,,
137,2145,PIPO,15.2,12.9,39,1194.589598,LG,2,1,2,2,1,38.6,1170.210859,19.83,-0.4,,
137,2147,PIPO,9,8.9,34.4,929.4079856,LG,2,2,1,2,2,35.7,1000.98126,18.86,1.3,,
137,2148,PIPO,7.8,5.2,30.1,711.577989,LF,2,1,1,2,2,30.5,730.6160244,14.69,0.4,,
137,2149,PIPO,6,4.4,39.5,1225.416449,LF,2,2,1,2,1,39.8,1244.101056,15.53,0.3,,
137,2150,PIPO,7.2,8,42,1385.44119,LF,2,1,2,2,2,42.6,1425.307967,19.07,0.6,,
137,2151,PIPO,5.7,10.5,44.1,1527.448912,LG,2,2,2,2,1,44.1,1527.448912,19.33,0,,
137,2152,PIPO,2.9,4.7,31.8,794.2253679,LG,1,1,1,2,2,32,804.24704,14.03,0.2,,
137,2153,PIPO,5.3,1.9,35.5,989.7971994,LG,2,2,1,2,1,35.9,1012.228152,12.86,0.4,,
137,2161,PIPO,22.4,21.7,48.5,1847.451269,LF,1,2,2,2,0,48.1,1817.10351,17.96,-0.4,,
137,2163,PIPO,26.9,17.6,33.1,860.489355,LG,2,2,1,2,2,34.5,934.8193744,13.36,1.4,,
